ID,Smiles,pIC50
359,C=CCC1=CC=C(OC(N(CC)C)=O)C(C2=C(OC(N(CC)C)=O)C=CC(CC=C)=C2)=C1,7.650139918
360,C=CCC1=CC=C(OC(N(CC)C)=O)C(C2=C(O)C=CC(CC=C)=C2)=C1,7.646083769
732,Cc1ccc(C(=O)C(=O)c2ccc(Cl)cc2)cc1,7.642065153
835,O=C(C(=O)c1cc(F)cc(F)c1)c1cc(F)cc(F)c1,7.638272164
630,CCOC(=O)/C(=N\Nc1cccc(C)c1)C(=O)C(F)(F)F,7.630042393
344,O=C(N(C)C)OC1=C2C(N=CC=C2)=CC=C1,7.628009089
820,CCCCCCCCC(=O)C(=O)CCCCCCCC,7.610833916
QI-3,CC1=CC=C(OC(N2CCCC2)=O)C(OC)=C1,7.606600305
35,O=C1C2C=CC(OC(N(CC)CC)=O)=CC2OC=C1C3=CC=C(OC)C=C3,7.604324215
QI-30,COC1=CC(C)=CC=C1OC(N2CCOCC2)=O,7.602233744
844,CCCCCCCC(=O)C(=O)CCCCCCC,7.591760035
343,O=C(CC1)NC2=C1C=CC(OC(N(CC)CC)=O)=C2,7.591251394
AX-36,O=C1CCC2=CC=C(OC(N(CC)CC)=O)C=C2N1,7.591251394
742,O=C(c1ccc(F)c(F)c1F)C(O)c1ccc(F)c(F)c1F,7.590066877
149,O=C1N(C2=CC=CC=C2)C(C3=CC=CC=C3C1SC4=CC=CC(OC(N(CC)CC)=O)=C4)=O,7.587203571
754,O=C(C(=O)c1cccc(F)c1)c1cccc(F)c1,7.586700236
626,CCCCCCCCS(=O)(=O)CC(=O)C(F)(F)F,7.585026652
BP-1,COC1=CC(C(N2CCN(C3=CC=C(F)C=C3)CC2)=O)=CC(OC)=C1OC(N(CC)CC)=O,7.584692708
SG-11,O=C1C(C2=CC=C(O)C=C2)=COC3=CC(OC(N(C)C)=O)=CC=C31,7.571865206
827,O=C(C(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,7.560667306
